id,created_at,text
1205168007393112064x,2019-12-12 16:50:18,b'gotta entertain the kid when stuck in traffic https://t.co/3qI2Ze6aSg'
1205151287441907714x,2019-12-12 15:43:52,b'@jeffgrantmedia why would you tag me in this?'
1205148131328872450x,2019-12-12 15:31:19,b'@KEEMSTAR that has to be a record'
1205148053151211525x,2019-12-12 15:31:01,b'I once moved two 4\xe2\x80\x99x8\xe2\x80\x99 sheets of 3/4\xe2\x80\x9d plywood on the NYC subway by myself.. these guys got me beat \xf0\x9f\x9b\x8b https://t.co/V3CA8dRpl1'
1205145353403559936x,2019-12-12 15:20:17,b'@KEEMSTAR How many people do you have blocked?'
1205139424817766401x,2019-12-12 14:56:43,"b'I wake up early everyday to get a head start on work, this morning little franny woke up early to get a head start\xe2\x80\xa6 https://t.co/yZ76Os7HXm'"
1204968047871553538x,2019-12-12 03:35:44,b'she\xe2\x80\x99s definitely been drinking https://t.co/fAXZJlUEme'
1204944085074604032x,2019-12-12 02:00:31,b'@MatthewACherry confirmed'
1204943240278900736x,2019-12-12 01:57:09,b'@kaysha @YouTube *every minute https://t.co/uUR9424l2s'
1204942812321468422x,2019-12-12 01:55:27,b'@helena Don\xe2\x80\x99t have any questions but I did want to let you know I found my credit card.'
1204933826872348672x,2019-12-12 01:19:45,b'@producerSX IT WORKED!!'
1204905748267859970x,2019-12-11 23:28:11,b'\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f https://t.co/9LgKZgRLVi'
1204888165913202689x,2019-12-11 22:18:19,b'@sacca https://t.co/A8szMDm83u'
1204871518561488903x,2019-12-11 21:12:10,b'thanks for having me https://t.co/GmujztIQPo'
1204823913953316865x,2019-12-11 18:03:00,b'PRESENTER https://t.co/OXTvYjXHCx'
1204820153843646464x,2019-12-11 17:48:03,b'this is so great.  two amazing women and great friends coming together to raise $ to help girls learn to code --\xe2\x80\xa6 https://t.co/C9eYpIpmoR'
1204818591226286080x,2019-12-11 17:41:51,b'@J4CKMULL also im this https://t.co/3YwjsmK4Od'
1204818369330864129x,2019-12-11 17:40:58,b'@J4CKMULL hey Jack.  im a lone wolf.  hope you understand https://t.co/9uEm0bNapc'
1204814865962942464x,2019-12-11 17:27:03,b'my friend made this rediculous video for his canned wine company.  A for effort gentleman \xf0\x9f\x98\x82 - https://t.co/36D9WWGQTl'
1204812151824633856x,2019-12-11 17:16:15,b'hey @itsjojosiwa do you make this jacket in my size? https://t.co/6Pnu4Jso4P'
1204806455712333824x,2019-12-11 16:53:37,b'@karliekloss @kodewithklossy @shantell_martin Yes please'
1204805968992727040x,2019-12-11 16:51:41,"b'RT @YTCreators: Many of you have told us we need to do a better job preventing harassment on YouTube, so we consulted with a wide array of\xe2\x80\xa6'"
1204805854777622528x,2019-12-11 16:51:14,"b'RT @SusanWojcicki: .@YouTube, we take it very seriously when creators share stories about harassment. Today we announced an update to our h\xe2\x80\xa6'"
1204789108742086656x,2019-12-11 15:44:42,b'@lexieviolett https://t.co/l1WSDHuhz0'
1204788660979167235x,2019-12-11 15:42:55,b'@defaultbyloner @samfrieds All I can do is apologize'
1204561383221682176x,2019-12-11 00:39:48,b'well deserved \xf0\x9f\x91\x8f\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f https://t.co/mFdlFPUaqu'
1204560905700118528x,2019-12-11 00:37:54,b'@chriswelch Hope all is ok'
1204560790268698625x,2019-12-11 00:37:26,b'@austinnotduncan How is this possible'
1204476968038584321x,2019-12-10 19:04:21,b'@hayden_quinn some of that too yes'
1204441673826127872x,2019-12-10 16:44:07,b'scary https://t.co/IgJR0hsaCO'
1204428018803888128x,2019-12-10 15:49:51,b'she\xe2\x80\x99s really into the breakfast menu.  this mornings choice; toast https://t.co/nrpu5tsMDR'
1204199893515919360x,2019-12-10 00:43:22,b'@Shillibier @F1 Lando was awesome.  i know i cant show footage from sporting events (editing my vlogs from the supe\xe2\x80\xa6 https://t.co/tPM7AUxb0T'
1204197229583421440x,2019-12-10 00:32:47,"b'@Shillibier @F1 hey william, not sure what your aksing?   was just disappointed that i lost all the footage of my f\xe2\x80\xa6 https://t.co/PrmSKudDWb'"
1204086073300668416x,2019-12-09 17:11:05,b'@graceekcb @kylemcampbell remember; https://t.co/wsLDWkAsIV'
1204028685377949696x,2019-12-09 13:23:03,b'@karaswisher @mikiebarb @joerogan congratulations and well deserved \xf0\x9f\x91\x8f'
1203926082925150208x,2019-12-09 06:35:20,b'Candice calls restaurants and tries to use my name but they never know who i am so we just stay home and eat spaghe\xe2\x80\xa6 https://t.co/H9C4crCAIJ'
1203766681991929858x,2019-12-08 20:01:56,b'@shanesilba1 i forget to take them off then in low light my shot is all noisy.'
1203765890317049856x,2019-12-08 19:58:47,"b""RT @tanyayuan: When you make it into @Casey's latest Vlog. So much fun interviewing this inspiring creator @swissinnovation forum:  https:/\xe2\x80\xa6"""
1203758724298313728x,2019-12-08 19:30:19,"b""@TaylorLorenz Bergman's Scenes from a Marriage is about as depressing and bleak as you can get... if youre into that kind of thing"""
1203754132898598918x,2019-12-08 19:12:04,b'RT @MeredithFrost: Perfectly timed action shot by photographer Claudio Piccoli https://t.co/65NG4asAc1 https://t.co/d0mfIAZgKu'
1203701007986806784x,2019-12-08 15:40:58,"b'RT @JOSH_BENNY: We\xe2\x80\x99ll be in LA for q/a\xe2\x80\x99s 12/13, 12/14 &amp; 12/15 with @AdamSandler @ArcLightCinemas in the CINERAMA DOME, come through: https:\xe2\x80\xa6'"
1203531632730230785x,2019-12-08 04:27:56,b'once upon a time https://t.co/gs2mHrWIAA'
1203378149486186496x,2019-12-07 18:18:03,"b'hey YouTubers that follow me.  if you think this unofficial REWIND is as good as I do, go ahead and share it! the c\xe2\x80\xa6 https://t.co/Hr8voaiJQs'"
1203376396996939779x,2019-12-07 18:11:05,b'@hutchison15 @_dyalla !!!'
1203368869840031746x,2019-12-07 17:41:10,b'@joshuatopolsky Finally Kanye is making video games'
